event_name,event_period_start,event_period_end,event_place
2024 NCT DREAM WORLD TOUR <THE DREAM SHOW 3 : DREAM () SCAPE> - 마닐라,2024.08.10.,2024.08.11.,SM Mall of Asia Arena
2024 예술의전당 국제음악제 - 단 에팅거 with 테너 백석종,2024.08.11.,2024.08.11.,예술의전당 음악당 콘서트홀
최후의 남자 - 대구,2024.07.16.,2024.08.11.,우전소극장
매직버블쇼 - 대구,2024.08.10.,2024.08.11.,대구 대백프라자 10층 프라임홀
공룡 애니멀 쇼 - 밀양,2024.08.11.,2024.08.11.,밀양아리랑아트센터
더매직스타 전국투어 콘서트 - 부산,2024.08.09.,2024.08.11.,드림씨어터
2024 예술의전당 국제음악제 - 코리안 혼 사운드,2024.08.11.,2024.08.11.,예술의전당IBK챔버홀
2024 예술의전당 국제음악제 - 박연민 피아노 리사이틀,2024.08.11.,2024.08.11.,예술의전당 음악당 리사이틀홀
"육영수, 그 시절의 아카시아 - 경산",2024.08.10.,2024.08.11.,영남대학교 천마아트센터 그랜드홀
여름방학 지브리 & 디즈니 영화음악 콘서트 2024 - 대구,2024.07.21.,2024.08.11.,스테이지엠
트롯 3파전 콘서트 - 창원,2024.08.11.,2024.08.11.,"창원컨벤션센터 2 , 3홀"
어린이 서커스 마술쇼 - 광주,2024.08.11.,2024.08.11.,광주디자인진흥원
조 판스워스 & 허지희 첫 내한공연,2024.08.11.,2024.08.11.,성수아트홀
혹부리 영감이 되고 싶은 도깨비 - 청주,2024.08.10.,2024.08.11.,청주아트홀
2024 역사시비 프로젝트 - 후-하!,2024.08.02.,2024.08.11.,예술공간혜화
한일우호교류공연 sing us,2024.08.10.,2024.08.11.,복합문화공간 몽향
선데이콘서트 [김가원 바이올린 독주회] - 인천,2024.08.11.,2024.08.11.,엘림아트센터
[BABYMONSTER PRESENTS : SEE YOU THERE] IN SEOUL,2024.08.10.,2024.08.11.,경희대학교 평화의전당
삼양동화 - 광주,2024.08.10.,2024.08.11.,국립아시아문화전당 어린이극장
빨간모자와 늑대 - 보령,2024.08.11.,2024.08.11.,보령문화의전당
