k_date,title,place,lat,lon,url_link,start_date,end_date,area,category,dt
20240504 ~ 20240831,구팔일 올데이 페스티벌,9.81파크 제주,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=31688488&qvt=0&query=%EA%B5%AC%ED%8C%94%EC%9D%BC%20%EC%98%AC%EB%8D%B0%EC%9D%B4%20%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C,20240504,20240831,,,
20240701 ~ 20241031,별바다부산 나이트페스타,다대포해변공원 등,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=28881245&qvt=0&query=%EB%B3%84%EB%B0%94%EB%8B%A4%EB%B6%80%EC%82%B0%20%EB%82%98%EC%9D%B4%ED%8A%B8%ED%8E%98%EC%8A%A4%ED%83%80,20240701,20241031,,,
20240511 ~ 20240908,양평메기수염축제,수미마을,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=31715818&qvt=0&query=%EC%96%91%ED%8F%89%EB%A9%94%EA%B8%B0%EC%88%98%EC%97%BC%EC%B6%95%EC%A0%9C,20240511,20240908,,,
20240615 ~ 20241026,경기전 왕과의 산책,전주 한옥마을 경기전,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=31714622&qvt=0&query=%EA%B2%BD%EA%B8%B0%EC%A0%84%20%EC%99%95%EA%B3%BC%EC%9D%98%20%EC%82%B0%EC%B1%85,20240615,20241026,,,
20240410 ~ 20240831,마노르블랑 수국축제,마노르블랑,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=9715082&qvt=0&query=%EB%A7%88%EB%85%B8%EB%A5%B4%EB%B8%94%EB%9E%91%20%EC%88%98%EA%B5%AD%EC%B6%95%EC%A0%9C,20240410,20240831,,,
20240518 ~ 20241012,국립세종수목원 야간개장 '특별한 夜행',국립세종수목원,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=31918785&qvt=0&query=%EA%B5%AD%EB%A6%BD%EC%84%B8%EC%A2%85%EC%88%98%EB%AA%A9%EC%9B%90%20%EC%95%BC%EA%B0%84%EA%B0%9C%EC%9E%A5%20%ED%8A%B9%EB%B3%84%ED%95%9C%20%E5%A4%9C%ED%96%89,20240518,20241012,,,
20240626 ~ 20241201,문화가 있는 날 실버마이크 <전라·제주 권역>,광주 쌍암공원 일원 그 외 장소는 홈페이지 참조,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=34212689&qvt=0&query=%EB%AC%B8%ED%99%94%EA%B0%80%20%EC%9E%88%EB%8A%94%20%EB%82%A0%20%EC%8B%A4%EB%B2%84%EB%A7%88%EC%9D%B4%ED%81%AC%20%EC%A0%84%EB%9D%BC%20%EC%A0%9C%EC%A3%BC%20%EA%B6%8C%EC%97%AD,20240626,20241201,,,
20240509 ~ 20241116,DMZ OPEN 페스티벌,경기도 DMZ 일원,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=31522877&qvt=0&query=DMZ%20OPEN%20%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C,20240509,20241116,,,
20240420 ~ 20241027,나오라쇼,간현관광지 나오라쇼 광장,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=31689880&qvt=0&query=%EB%82%98%EC%98%A4%EB%9D%BC%EC%87%BC,20240420,20241027,,,
20240406 ~ 20241027,밤가시초가 마실가자,일산 밤가시초가,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=34377284&qvt=0&query=%EB%B0%A4%EA%B0%80%EC%8B%9C%EC%B4%88%EA%B0%80%20%EB%A7%88%EC%8B%A4%EA%B0%80%EC%9E%90,20240406,20241027,,,
