question,dt
최근 일주일간 본부별 HDV CEI 조회해줘,240531 17:05
"오늘 Core운용1팀, Core운용2팀 예정 작업 보여 줘",240531 17:49
최근 일주일간 본부별 HDV CEI 조회해줘,240531 18:09
할수 있는게 뭔지 알려줘,240603 08:18
할수 있는게 뭔지 알려줘,240603 13:25
최근 일주일간 본부별 HDV CEI 조회해줘,240603 14:15
이번달 서부본부 voc 현황을 조회해줘,240603 17:13
최근 일주일간 본부별 HDV CEI 조회해줘,240604 09:06
오늘 IP 백본 포트별 5분 KPI 통계 조회해줘,240604 15:19
안녕,240604 15:31
최근 일주일간 본부별 HDV CEI 조회해줘,240604 16:25
최근 일주일간 본부별 HDV CEI 조회해줘,240604 16:31
"오늘 Core운용1팀, Core운용2팀 예정 작업 보여 줘",240604 16:44
최근 일주일간 본부별 HDV CEI 조회해줘,240604 16:50
최근 일주일간 본부별 HDV CEI 조회해줘,240604 17:29
"24년 3월 세븐틴콘서트에서 시도호가 많았던 LTE장비 순으로 10개 보여주고, 동접자수와 트래픽양도 같이 보여 줘",240604 18:18
"24년 3월 세븐틴콘서트에서 시도호가 많았던 LTE장비 순으로 10개 보여주고, 동접자수와 트래픽양도 같이 보여 줘",240604 18:37
"24년 3월 세븐틴콘서트에서 시도호가 많았던 LTE장비 순으로 10개 보여주고, 동접자수와 트래픽양도 같이 보여 줘",240604 18:59
"24년 3월 세븐틴콘서트에서 시도호가 많았던 LTE장비 순으로 10개 보여주고, 동접자수와 트래픽양도 같이 보여 줘",240604 18:59
MOIRA 통합 eng db 조회해줘,240605 09:45
ac_site_eng_fclts_bas 이 테이블 조회해줘,240605 09:45
"오늘 Core운용1팀, Core운용2팀 예정 작업 보여 줘",240605 10:28
오늘 IP 백본 포트별 5분 KPI 통계 조회해줘,240605 10:35
